PrecioActual,PrecioAnterior,metros,habitaciones,baños,planta_num,Latitud,Longitud,zona_barajas,zona_barrio-de-salamanca,zona_carabanchel,zona_centro,zona_chamartin,zona_chamberi,zona_ciudad-lineal,zona_fuencarral,zona_hortaleza,zona_latina,zona_moncloa,zona_moratalaz,zona_puente-de-vallecas,zona_retiro,zona_san-blas,zona_tetuan,zona_usera,zona_vicalvaro,zona_villa-de-vallecas,zona_villaverde,ascensor_S,localizacion_EXTERIOR
2619000,0,219,4.0,0,4.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
128000,0,59,20.0,0,0.0,40.4275001,-3.615954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
375000,0,63,1.0,0,7.0,40.3969535,-3.6972891,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
280000,0,40,3.0,0,7.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
180000,0,47,2.0,0,1.0,40.4035317,-3.736152,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
571850,0,93,1.0,0,0.0,40.4350196,-3.719236,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
146990,0,72,2.0,0,2.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
545000,0,90,3.0,2,2.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5500000,0,1150,9.0,0,3.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
440000,0,82,1.0,0,4.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
595000,0,132,3.0,0,5.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
228000,0,36,2.0,0,4.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
520000,0,57,1.0,0,2.0,40.4350196,-3.719236,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
360000,0,78,2.0,1,10.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1565970,0,162,3.0,0,5.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1789000,0,152,2.0,2,2.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
923100,0,182,4.0,0,2.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
9250000,0,550,4.0,0,5.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2300000,0,265,5.0,0,6.0,40.4739539,-3.6827087,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
230000,235000,68,3.0,0,0.0,40.4484305,-3.650495,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1100000,1195000,136,3.0,0,0.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
545000,0,89,2.0,0,2.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
3000000,0,200,3.0,0,4.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2650000,0,368,4.0,0,6.0,40.4739539,-3.6827087,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
360000,370000,45,1.0,0,1.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
550000,0,138,3.0,2,0.0,40.426213,-3.7009931,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
420000,0,56,1.0,0,6.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
730000,0,80,2.0,0,4.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
270000,0,83,3.0,0,4.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
3800000,0,420,3.0,0,3.0,40.4739539,-3.6827087,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
4000000,0,1100,6.0,0,2.0,40.4350196,-3.719236,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
