zona,PrecioActual,metros,habitaciones,ascensor,localizacion,planta,baños
chamberi,6200000,548,3,S,EXTERIOR,7ª,0
ciudad-lineal,159000,49,2,N,EXTERIOR,3ª,0
villaverde,81100,65,3,N,EXTERIOR,3ª,0
barrio-de-salamanca,1100000,112,4,N,INTERIOR,BAJO,0
retiro,490000,89,3,S,EXTERIOR,2ª,0
barrio-de-salamanca,1095000,86,2,S,EXTERIOR,6ª,0
carabanchel,345000,103,4,N,EXTERIOR,2ª,0
chamberi,680000,105,2,S,EXTERIOR,1ª,0
tetuan,478000,66,1,S,EXTERIOR,4ª,0
barrio-de-salamanca,2619000,219,4,S,EXTERIOR,4ª,0
usera,180000,50,2,N,EXTERIOR,3ª,0
villa-de-vallecas,575000,170,3,S,EXTERIOR,8ª,0
tetuan,350000,90,2,N,EXTERIOR,3ª,0
centro,895000,145,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,440000,60,1,N,EXTERIOR,BAJO,0
barrio-de-salamanca,2460000,315,3,S,EXTERIOR,6ª,4
centro,330000,56,2,N,EXTERIOR,BAJO,1
villa-de-vallecas,242000,87,4,S,EXTERIOR,1ª,2
centro,1150000,130,3,S,EXTERIOR,2ª,0
ciudad-lineal,315000,64,2,N,EXTERIOR,2ª,2
chamberi,310000,35,1,N,INTERIOR,4ª,0
centro,989000,112,3,N,EXTERIOR,2ª,3
chamberi,2800000,190,3,S,EXTERIOR,3ª,0
chamberi,457000,60,3,N,INTERIOR,5ª,0
moncloa,1450000,190,4,S,EXTERIOR,4ª,0
centro,399000,45,2,S,EXTERIOR,2ª,1
san-blas,250000,63,3,N,INTERIOR,1ª,1
tetuan,199733,46,2,S,INTERIOR,BAJO,0
retiro,575000,99,3,S,EXTERIOR,3ª,0
centro,1200000,170,5,S,EXTERIOR,5ª,0
carabanchel,165000,66,2,N,EXTERIOR,BAJO,0
centro,390000,50,1,S,INTERIOR,2ª,1
ciudad-lineal,515000,75,2,S,EXTERIOR,3ª,0
barrio-de-salamanca,1129000,115,3,S,EXTERIOR,1ª,0
centro,529000,95,2,N,EXTERIOR,4ª,0
barrio-de-salamanca,6400000,339,4,S,EXTERIOR,7ª,1
chamberi,1650000,183,3,S,EXTERIOR,3ª,0
villa-de-vallecas,167500,66,2,N,EXTERIOR,2ª,0
barrio-de-salamanca,930000,160,3,S,EXTERIOR,3ª,0
centro,350000,41,1,S,INTERIOR,3ª,0
barrio-de-salamanca,2850000,214,3,S,EXTERIOR,6ª,0
villa-de-vallecas,179000,64,3,N,INTERIOR,2ª,0
chamartin,1175000,155,4,S,EXTERIOR,1ª,2
centro,424500,50,2,S,INTERIOR,6ª,0
chamartin,3225000,267,3,S,EXTERIOR,2ª,0
retiro,1200000,124,2,S,INTERIOR,2ª,0
centro,2990000,250,3,S,EXTERIOR,3ª,0
puente-de-vallecas,245000,81,3,S,EXTERIOR,1ª,0
chamberi,1190000,141,4,S,EXTERIOR,2ª,0
chamartin,990000,109,3,S,EXTERIOR,5ª,0
tetuan,285000,70,1,S,EXTERIOR,2ª,0
barrio-de-salamanca,2995000,254,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,2700000,230,4,S,EXTERIOR,7ª,1
chamberi,1199000,120,3,S,EXTERIOR,6ª,0
puente-de-vallecas,225000,56,2,N,INTERIOR,3ª,0
puente-de-vallecas,145000,45,1,N,EXTERIOR,BAJO,1
chamberi,2000000,180,4,S,EXTERIOR,2ª,0
san-blas,141600,64,2,S,EXTERIOR,5ª,0
barrio-de-salamanca,280000,59,1,S,EXTERIOR,BAJO,0
fuencarral,740000,140,2,S,EXTERIOR,7ª,2
tetuan,260000,50,1,N,INTERIOR,1ª,0
hortaleza,860000,160,3,S,EXTERIOR,2ª,0
usera,165000,53,2,S,EXTERIOR,BAJO,1
centro,795000,135,3,S,EXTERIOR,2ª,0
fuencarral,1350000,280,5,S,EXTERIOR,3ª,3
centro,650000,81,2,S,INTERIOR,5ª,0
carabanchel,320000,88,3,S,EXTERIOR,4ª,1
vicalvaro,238250,109,3,S,EXTERIOR,1ª,0
chamberi,1690000,185,3,S,EXTERIOR,2ª,0
villaverde,265000,85,1,S,EXTERIOR,5ª,0
tetuan,235000,30,1,S,EXTERIOR,BAJO,0
villaverde,399000,99,4,N,EXTERIOR,2ª,0
centro,648000,125,3,N,EXTERIOR,BAJO,0
latina,185000,53,2,N,INTERIOR,3ª,0
retiro,595000,93,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,3200000,260,4,S,EXTERIOR,2ª,0
centro,595000,84,4,N,EXTERIOR,2ª,0
centro,185000,55,2,S,EXTERIOR,-1,0
moncloa,2800000,494,6,S,EXTERIOR,2ª,0
retiro,585000,71,2,S,EXTERIOR,6ª,1
tetuan,415000,97,3,S,INTERIOR,3ª,0
chamberi,5800000,500,4,S,EXTERIOR,6ª,0
vicalvaro,474000,110,3,S,EXTERIOR,BAJO,0
arganzuela,590000,150,2,S,EXTERIOR,BAJO,0
retiro,1250000,97,2,S,INTERIOR,4ª,0
chamberi,2260000,238,3,S,EXTERIOR,ENTREPLANTA,4
chamberi,1700000,329,5,S,EXTERIOR,7ª,0
retiro,1275000,140,3,S,INTERIOR,4ª,1
chamartin,505000,86,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,1140000,90,2,S,INTERIOR,3ª,0
moncloa,925000,143,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,2180000,170,3,S,EXTERIOR,3ª,0
puente-de-vallecas,181000,66,2,N,EXTERIOR,1ª,0
centro,500000,52,2,N,EXTERIOR,4ª,1
arganzuela,630000,118,4,S,EXTERIOR,1ª,0
arganzuela,390000,74,2,S,EXTERIOR,2ª,0
barrio-de-salamanca,8000000,326,3,S,EXTERIOR,6ª,0
villa-de-vallecas,660000,119,4,S,EXTERIOR,4ª,0
centro,210000,49,1,N,INTERIOR,SÓTANO,0
retiro,595000,114,4,S,EXTERIOR,6ª,0
carabanchel,220000,64,1,S,EXTERIOR,1ª,0
chamberi,1690000,185,3,S,EXTERIOR,2ª,0
barrio-de-salamanca,3300000,244,4,S,EXTERIOR,3ª,0
centro,650000,126,3,N,EXTERIOR,4ª,0
retiro,729000,90,2,S,INTERIOR,6ª,0
chamberi,299000,55,2,S,INTERIOR,SÓTANO,0
centro,140000,19,1,S,INTERIOR,BAJO,0
chamartin,930000,130,3,S,EXTERIOR,ENTREPLANTA,2
chamberi,750000,85,2,S,EXTERIOR,2ª,0
puente-de-vallecas,130000,63,2,N,EXTERIOR,BAJO,0
carabanchel,399000,171,3,S,EXTERIOR,BAJO,2
chamberi,1690000,185,4,S,EXTERIOR,2ª,0
fuencarral,2100000,600,4,S,EXTERIOR,8ª,0
barrio-de-salamanca,3875000,305,3,S,EXTERIOR,4ª,0
usera,270000,112,3,S,EXTERIOR,6ª,2
chamberi,595000,70,2,S,EXTERIOR,3ª,0
fuencarral,610000,132,3,S,EXTERIOR,4ª,0
hortaleza,450000,90,2,S,EXTERIOR,5ª,2
vicalvaro,236711,109,3,S,EXTERIOR,4ª,0
fuencarral,990000,110,2,S,EXTERIOR,4ª,0
barrio-de-salamanca,2350000,157,3,S,EXTERIOR,5ª,2
fuencarral,320000,68,2,S,EXTERIOR,2ª,0
retiro,513000,100,2,S,EXTERIOR,1ª,0
arganzuela,840000,167,3,S,INTERIOR,5ª,0
chamberi,750000,140,5,S,EXTERIOR,7ª,2
retiro,745000,123,3,S,INTERIOR,3ª,2
tetuan,1710000,229,4,S,EXTERIOR,9ª,0
usera,141000,46,1,S,EXTERIOR,BAJO,1
ciudad-lineal,855000,75,2,S,EXTERIOR,1ª,0
barrio-de-salamanca,320000,60,2,N,EXTERIOR,SÓTANO,0
puente-de-vallecas,186000,95,3,N,EXTERIOR,2ª,0
ciudad-lineal,190000,53,2,N,EXTERIOR,BAJO,1
villaverde,129000,57,2,N,EXTERIOR,BAJO,0
tetuan,308000,66,2,S,EXTERIOR,BAJO,0
barrio-de-salamanca,1130000,133,3,S,EXTERIOR,6ª,0
barrio-de-salamanca,1649000,162,3,S,EXTERIOR,1ª,3
barrio-de-salamanca,2350000,165,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,4350000,305,3,S,EXTERIOR,3ª,0
usera,338000,108,2,S,EXTERIOR,BAJO,0
villaverde,202500,145,2,S,EXTERIOR,8ª,2
barrio-de-salamanca,1400000,100,2,S,EXTERIOR,2ª,0
hortaleza,330000,71,2,S,EXTERIOR,2ª,0
latina,268000,72,3,S,EXTERIOR,2ª,1
centro,1049000,71,2,S,EXTERIOR,10ª,0
centro,890000,176,2,S,EXTERIOR,4ª,1
barrio-de-salamanca,5300000,302,3,S,EXTERIOR,3ª,0
ciudad-lineal,580000,100,2,S,EXTERIOR,8ª,0
fuencarral,560000,100,3,S,EXTERIOR,BAJO,0
tetuan,349000,88,3,N,INTERIOR,3ª,0
arganzuela,289000,48,1,S,EXTERIOR,BAJO,0
retiro,6000000,533,6,S,EXTERIOR,2ª,0
centro,625000,86,1,N,EXTERIOR,3ª,0
san-blas,225000,85,3,S,EXTERIOR,BAJO,0
chamberi,820000,90,3,N,EXTERIOR,2ª,0
arganzuela,279000,60,1,N,EXTERIOR,BAJO,1
tetuan,1480000,170,5,S,EXTERIOR,7ª,0
centro,725000,97,3,N,EXTERIOR,5ª,0
centro,1250000,143,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,1290000,114,3,S,EXTERIOR,1ª,3
san-blas,410000,90,3,S,EXTERIOR,3ª,1
centro,1079000,128,3,S,EXTERIOR,2ª,0
retiro,625000,73,3,S,EXTERIOR,5ª,0
barrio-de-salamanca,1299000,86,3,S,INTERIOR,2ª,0
fuencarral,985000,147,3,S,EXTERIOR,2ª,0
fuencarral,245000,60,2,S,EXTERIOR,BAJO,0
vicalvaro,210000,63,3,N,EXTERIOR,BAJO,0
centro,2400000,460,4,S,INTERIOR,2ª,0
ciudad-lineal,260000,73,2,N,EXTERIOR,BAJO,1
puente-de-vallecas,500000,125,4,N,EXTERIOR,BAJO,0
barrio-de-salamanca,1459000,84,2,S,EXTERIOR,5ª,2
carabanchel,179500,67,2,S,EXTERIOR,2ª,0
chamartin,925000,173,5,S,EXTERIOR,4ª,2
barrio-de-salamanca,1700000,150,3,S,EXTERIOR,2ª,0
usera,141100,82,1,N,EXTERIOR,2ª,0
puente-de-vallecas,445000,84,2,S,EXTERIOR,3ª,0
villaverde,135000,111,3,N,EXTERIOR,6ª,0
carabanchel,118000,51,2,N,EXTERIOR,4ª,0
villa-de-vallecas,278000,88,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,3600000,309,6,S,EXTERIOR,3ª,0
centro,576000,68,1,S,EXTERIOR,2ª,0
retiro,1220000,140,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,990000,142,3,S,INTERIOR,1ª,0
san-blas,169000,48,2,S,EXTERIOR,3ª,0
barrio-de-salamanca,899999,169,3,S,INTERIOR,ENTREPLANTA,0
carabanchel,630000,143,2,S,EXTERIOR,BAJO,0
centro,1589000,136,3,S,EXTERIOR,2ª,0
centro,129900,12,1,S,EXTERIOR,4ª,0
puente-de-vallecas,145000,51,1,N,EXTERIOR,2ª,0
san-blas,290000,78,3,S,EXTERIOR,1ª,0
chamartin,815000,140,2,S,INTERIOR,6ª,2
barrio-de-salamanca,829000,76,2,N,INTERIOR,1ª,2
arganzuela,430000,79,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,2259000,197,3,S,EXTERIOR,3ª,0
chamartin,560000,94,2,S,EXTERIOR,BAJO,1
barrio-de-salamanca,4950000,379,4,S,EXTERIOR,2ª,0
chamberi,1190000,140,2,S,EXTERIOR,ENTREPLANTA,0
barrio-de-salamanca,2090000,179,3,S,EXTERIOR,4ª,2
moratalaz,170000,160,4,S,EXTERIOR,3ª,0
chamartin,365000,83,2,S,EXTERIOR,BAJO,0
usera,204000,70,1,N,EXTERIOR,4ª,0
chamartin,625000,97,3,S,EXTERIOR,1ª,0
tetuan,284500,74,3,N,INTERIOR,1ª,0
latina,124000,35,1,N,INTERIOR,SÓTANO,0
chamartin,330000,49,1,S,EXTERIOR,BAJO,0
barrio-de-salamanca,1350000,140,3,S,EXTERIOR,3ª,0
chamberi,699900,110,2,S,EXTERIOR,2ª,0
centro,1519000,211,4,S,EXTERIOR,1ª,4
chamartin,1890000,315,6,S,EXTERIOR,1ª,0
villa-de-vallecas,165000,49,1,S,EXTERIOR,1ª,0
barrio-de-salamanca,2990000,202,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,998000,185,2,S,EXTERIOR,3ª,0
villaverde,110000,43,2,N,EXTERIOR,1ª,0
centro,1195000,138,2,S,EXTERIOR,5ª,0
hortaleza,725000,124,3,S,EXTERIOR,17ª,0
latina,274171,45,1,S,EXTERIOR,2ª,0
arganzuela,630000,115,2,N,EXTERIOR,BAJO,0
centro,157000,38,2,N,INTERIOR,1ª,0
barrio-de-salamanca,550000,65,1,S,EXTERIOR,7ª,0
chamberi,1300000,105,2,S,EXTERIOR,9ª,0
ciudad-lineal,410000,89,2,N,EXTERIOR,BAJO,0
san-blas,385000,65,2,S,EXTERIOR,1ª,0
centro,450000,72,1,N,EXTERIOR,1ª,0
retiro,1499000,223,5,S,EXTERIOR,7ª,0
barrio-de-salamanca,3100000,280,4,S,EXTERIOR,2ª,0
chamartin,3250000,350,5,S,EXTERIOR,13ª,0
tetuan,335000,70,1,S,EXTERIOR,1ª,0
barrio-de-salamanca,1399000,131,2,S,EXTERIOR,1ª,0
centro,650000,119,2,N,EXTERIOR,2ª,0
chamberi,1790000,171,5,S,EXTERIOR,3ª,0
centro,190000,40,1,S,EXTERIOR,BAJO,1
moncloa,2265000,358,5,S,EXTERIOR,3ª,0
villaverde,207500,75,3,N,EXTERIOR,2ª,0
centro,980000,135,3,S,INTERIOR,1ª,0
centro,1820000,187,3,S,EXTERIOR,3ª,0
centro,499900,91,2,S,INTERIOR,1ª,1
barrio-de-salamanca,4900000,325,3,S,EXTERIOR,8ª,0
hortaleza,895000,231,3,S,EXTERIOR,3ª,0
chamberi,790000,73,2,S,EXTERIOR,2ª,1
tetuan,290000,70,3,N,EXTERIOR,1ª,0
chamberi,3600000,335,4,S,EXTERIOR,1ª,0
chamberi,1809522,98,2,S,EXTERIOR,7ª,0
fuencarral,395000,70,3,S,EXTERIOR,3ª,0
usera,310000,101,3,S,EXTERIOR,1ª,2
centro,1150000,150,4,S,INTERIOR,5ª,0
puente-de-vallecas,260000,72,2,S,EXTERIOR,1ª,1
vicalvaro,304000,90,2,S,INTERIOR,1ª,2
chamartin,575000,77,3,S,INTERIOR,4ª,0
carabanchel,244000,75,1,S,EXTERIOR,1ª,0
chamartin,1849000,298,3,S,EXTERIOR,3ª,0
retiro,560000,52,1,S,INTERIOR,5ª,0
carabanchel,115000,52,2,N,EXTERIOR,2ª,0
ciudad-lineal,295000,78,3,N,EXTERIOR,3ª,1
centro,240000,45,1,S,INTERIOR,3ª,0
barrio-de-salamanca,4910000,381,4,S,EXTERIOR,4ª,0
centro,420000,59,1,S,EXTERIOR,1ª,0
arganzuela,515000,61,2,N,EXTERIOR,1ª,0
ciudad-lineal,390000,58,1,S,EXTERIOR,4ª,0
carabanchel,353000,74,2,S,EXTERIOR,3ª,0
arganzuela,645000,147,4,S,INTERIOR,3ª,0
arganzuela,240000,65,2,N,INTERIOR,2ª,0
fuencarral,1290000,209,2,S,EXTERIOR,6ª,2
centro,460000,91,2,N,EXTERIOR,3ª,1
centro,919000,112,3,S,INTERIOR,3ª,1
centro,1750000,231,3,S,EXTERIOR,2ª,0
latina,690000,91,3,S,EXTERIOR,5ª,0
carabanchel,217000,73,3,N,EXTERIOR,1ª,0
centro,300000,43,2,N,INTERIOR,BAJO,0
centro,766000,115,3,N,EXTERIOR,1ª,0
puente-de-vallecas,75000,29,1,N,INTERIOR,BAJO,0
centro,299000,50,1,S,EXTERIOR,2ª,0
puente-de-vallecas,145000,68,2,N,EXTERIOR,3ª,0
barrio-de-salamanca,1770000,220,2,S,EXTERIOR,1ª,0
centro,795000,144,2,N,EXTERIOR,3ª,0
chamberi,1109000,140,4,S,EXTERIOR,2ª,2
barrio-de-salamanca,1750000,160,3,S,EXTERIOR,3ª,0
ciudad-lineal,320000,79,2,S,EXTERIOR,2ª,0
ciudad-lineal,498000,203,4,N,EXTERIOR,3ª,0
centro,725000,97,3,N,EXTERIOR,5ª,2
barrio-de-salamanca,1770000,220,2,S,EXTERIOR,1ª,0
barrio-de-salamanca,690000,60,1,S,INTERIOR,1ª,1
villaverde,130000,83,3,S,EXTERIOR,11ª,0
villa-de-vallecas,484900,109,3,S,EXTERIOR,1ª,0
chamberi,1080000,362,6,S,EXTERIOR,ENTREPLANTA,0
barrio-de-salamanca,849000,83,2,S,EXTERIOR,6ª,0
centro,953900,97,2,S,EXTERIOR,1ª,0
centro,690000,75,2,S,INTERIOR,4ª,0
chamartin,1999000,314,4,S,EXTERIOR,4ª,0
carabanchel,750000,105,2,S,EXTERIOR,6ª,0
carabanchel,196000,65,2,S,EXTERIOR,2ª,0
centro,1380000,211,6,S,EXTERIOR,1ª,0
barrio-de-salamanca,3850000,300,3,S,EXTERIOR,4ª,0
chamberi,2500000,238,3,S,EXTERIOR,3ª,0
chamartin,2290000,258,4,S,EXTERIOR,9ª,0
ciudad-lineal,669000,200,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,2230000,147,4,S,EXTERIOR,2ª,1
fuencarral,1225000,246,3,S,EXTERIOR,5ª,2
tetuan,480000,100,1,S,EXTERIOR,1ª,0
vicalvaro,241420,101,3,S,EXTERIOR,2ª,0
barrio-de-salamanca,2150000,190,4,S,EXTERIOR,2ª,0
chamartin,800000,91,2,S,EXTERIOR,5ª,0
ciudad-lineal,390000,91,1,S,EXTERIOR,2ª,0
vicalvaro,234359,106,3,S,EXTERIOR,6ª,0
fuencarral,890000,102,3,S,INTERIOR,5ª,0
chamartin,480000,75,2,S,EXTERIOR,4ª,0
barrio-de-salamanca,1300000,62,1,S,EXTERIOR,1ª,0
retiro,1679000,133,2,S,EXTERIOR,4ª,0
centro,1650000,246,5,S,EXTERIOR,1ª,3
barrio-de-salamanca,395000,56,2,S,INTERIOR,BAJO,0
tetuan,1095000,160,3,S,EXTERIOR,7ª,0
barrio-de-salamanca,1789000,110,2,S,INTERIOR,2ª,0
carabanchel,380000,135,3,S,EXTERIOR,5ª,0
barrio-de-salamanca,825000,100,3,S,EXTERIOR,2ª,2
centro,235000,40,1,N,INTERIOR,4ª,0
carabanchel,255000,74,2,N,EXTERIOR,1ª,0
carabanchel,300000,132,2,N,EXTERIOR,BAJO,0
centro,919000,112,3,S,INTERIOR,3ª,1
centro,1050000,100,2,S,EXTERIOR,3ª,0
chamartin,1950000,314,5,S,EXTERIOR,2ª,5
barrio-de-salamanca,1309000,78,2,S,EXTERIOR,6ª,2
centro,970000,100,3,S,EXTERIOR,4ª,0
moncloa,870000,112,3,S,EXTERIOR,4ª,0
villaverde,200000,85,3,S,EXTERIOR,5ª,0
moncloa,1318000,230,3,S,EXTERIOR,3ª,3
moncloa,1120000,135,4,S,EXTERIOR,1ª,0
tetuan,475000,130,3,S,EXTERIOR,BAJO,2
barrio-de-salamanca,2800000,320,3,S,EXTERIOR,4ª,0
chamartin,1900000,288,4,S,EXTERIOR,10ª,0
barrio-de-salamanca,2590000,200,3,S,EXTERIOR,7ª,0
tetuan,465000,90,3,N,EXTERIOR,2ª,0
tetuan,365000,70,3,N,INTERIOR,1ª,0
villa-de-vallecas,210000,49,1,S,EXTERIOR,7ª,0
hortaleza,520000,100,2,S,EXTERIOR,5ª,0
carabanchel,270000,64,2,S,EXTERIOR,7ª,0
centro,1039000,103,3,S,EXTERIOR,3ª,0
ciudad-lineal,525000,68,2,S,EXTERIOR,2ª,0
tetuan,219000,42,1,N,EXTERIOR,3ª,0
vicalvaro,412000,106,3,S,EXTERIOR,1ª,0
tetuan,795000,127,5,S,INTERIOR,4ª,0
tetuan,125000,30,1,N,INTERIOR,BAJO,0
centro,405000,55,1,S,EXTERIOR,5ª,0
usera,94200,70,3,N,EXTERIOR,1ª,0
chamberi,355000,70,2,S,INTERIOR,BAJO,0
carabanchel,265000,75,3,S,EXTERIOR,1ª,0
centro,1100000,133,3,S,EXTERIOR,2ª,0
puente-de-vallecas,75000,28,1,N,EXTERIOR,BAJO,0
usera,159900,59,2,N,INTERIOR,SÓTANO,2
retiro,1200000,200,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,1789000,152,2,S,INTERIOR,2ª,2
centro,830000,108,2,S,EXTERIOR,3ª,0
centro,399000,77,3,N,INTERIOR,1ª,0
centro,459000,74,1,S,EXTERIOR,4ª,0
chamartin,299000,61,1,N,EXTERIOR,BAJO,0
ciudad-lineal,1395000,218,4,S,EXTERIOR,3ª,0
ciudad-lineal,159000,49,1,N,INTERIOR,BAJO,0
moncloa,226550,26,1,S,EXTERIOR,ENTREPLANTA,1
carabanchel,245000,53,1,S,EXTERIOR,BAJO,0
puente-de-vallecas,138000,60,2,N,EXTERIOR,3ª,0
usera,341000,120,3,S,EXTERIOR,1ª,2
hortaleza,2500000,425,5,S,INTERIOR,BAJO,0
barrio-de-salamanca,1489950,130,3,S,EXTERIOR,3ª,3
chamartin,1490000,207,5,S,EXTERIOR,6ª,0
retiro,3500000,251,3,S,EXTERIOR,6ª,0
ciudad-lineal,206000,70,2,S,EXTERIOR,SÓTANO,0
moratalaz,425000,95,3,S,EXTERIOR,7ª,0
carabanchel,255995,87,1,S,EXTERIOR,1ª,0
chamberi,750000,109,2,S,EXTERIOR,2ª,0
tetuan,1390000,231,3,S,EXTERIOR,6ª,2
barrio-de-salamanca,7900000,473,4,S,EXTERIOR,2ª,0
centro,599999,78,2,S,EXTERIOR,2ª,0
barrio-de-salamanca,2700000,280,5,S,EXTERIOR,1ª,0
centro,380000,58,1,N,EXTERIOR,5ª,0
barrio-de-salamanca,650000,60,1,S,EXTERIOR,1ª,1
tetuan,498000,56,1,S,EXTERIOR,2ª,0
centro,450000,50,2,N,INTERIOR,3ª,0
centro,640000,101,3,N,EXTERIOR,1ª,3
arganzuela,610000,60,1,S,EXTERIOR,1ª,0
centro,2810000,238,3,S,EXTERIOR,1ª,0
chamberi,450000,63,2,S,INTERIOR,ENTREPLANTA,0
retiro,1100000,129,3,S,EXTERIOR,3ª,0
ciudad-lineal,312000,87,3,S,EXTERIOR,BAJO,1
barrio-de-salamanca,1590000,175,3,S,EXTERIOR,2ª,0
retiro,540000,105,3,S,INTERIOR,2ª,0
barrio-de-salamanca,1740000,244,4,S,EXTERIOR,4ª,1
chamartin,1200000,247,4,S,EXTERIOR,12ª,3
chamberi,1500000,282,5,S,EXTERIOR,3ª,0
villa-de-vallecas,269999,89,3,S,EXTERIOR,5ª,0
barrio-de-salamanca,2359000,207,3,S,EXTERIOR,6ª,4
ciudad-lineal,284500,71,1,S,EXTERIOR,BAJO,0
latina,295000,88,3,S,EXTERIOR,6ª,0
centro,240000,40,1,S,INTERIOR,BAJO,0
chamberi,3350000,240,4,S,EXTERIOR,5ª,0
tetuan,380000,60,3,N,EXTERIOR,1ª,0
centro,259000,50,1,N,INTERIOR,BAJO,0
barrio-de-salamanca,3900000,300,5,S,EXTERIOR,7ª,0
barrio-de-salamanca,470000,51,1,S,EXTERIOR,3ª,0
chamberi,820000,147,6,S,EXTERIOR,2ª,0
villaverde,180500,74,1,S,EXTERIOR,2ª,0
villaverde,62000,41,2,N,EXTERIOR,BAJO,0
chamartin,449000,72,1,S,EXTERIOR,2ª,0
chamberi,450000,51,1,S,EXTERIOR,2ª,0
villaverde,229000,73,2,S,EXTERIOR,5ª,2
chamberi,388000,58,1,S,EXTERIOR,BAJO,0
barrio-de-salamanca,395000,42,1,S,INTERIOR,1ª,0
centro,1079000,128,3,S,EXTERIOR,2ª,1
ciudad-lineal,725000,137,4,S,EXTERIOR,3ª,3
tetuan,680000,117,3,S,EXTERIOR,4ª,0
vicalvaro,379000,76,2,S,EXTERIOR,9ª,0
centro,919000,112,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,3350000,230,3,S,EXTERIOR,4ª,0
centro,919000,112,3,S,INTERIOR,3ª,1
centro,630000,85,2,S,INTERIOR,BAJO,0
centro,275000,50,1,S,INTERIOR,2ª,0
chamartin,3800000,442,4,S,EXTERIOR,10ª,0
retiro,1149000,111,2,S,INTERIOR,3ª,2
chamberi,5325000,599,6,S,EXTERIOR,4ª,0
villaverde,185000,65,3,N,EXTERIOR,BAJO,0
barrio-de-salamanca,870000,92,2,S,EXTERIOR,2ª,0
puente-de-vallecas,215000,94,3,N,EXTERIOR,2ª,0
arganzuela,725000,107,4,S,EXTERIOR,2ª,0
latina,167500,53,2,N,EXTERIOR,BAJO,0
chamartin,995000,128,2,S,EXTERIOR,2ª,0
san-blas,1190000,289,6,S,EXTERIOR,3ª,0
barrio-de-salamanca,1789000,152,2,S,INTERIOR,2ª,0
barrio-de-salamanca,1975000,140,3,S,EXTERIOR,2ª,0
carabanchel,255000,73,2,S,EXTERIOR,BAJO,0
latina,269000,77,3,S,EXTERIOR,3ª,0
san-blas,155000,60,2,N,EXTERIOR,4ª,0
barrio-de-salamanca,1770000,156,2,S,EXTERIOR,3ª,0
tetuan,564000,125,2,S,EXTERIOR,1ª,0
chamartin,1250000,240,5,S,EXTERIOR,12ª,0
barrio-de-salamanca,1290000,148,3,S,EXTERIOR,5ª,0
arganzuela,186000,35,2,N,EXTERIOR,-1,0
barrio-de-salamanca,2469000,271,4,S,EXTERIOR,1ª,0
chamartin,585000,92,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,1190000,117,2,S,EXTERIOR,3ª,0
moncloa,298000,48,2,S,EXTERIOR,SÓTANO,0
usera,173000,77,3,N,EXTERIOR,3ª,0
vicalvaro,525000,130,4,S,EXTERIOR,6ª,0
ciudad-lineal,378000,47,1,S,EXTERIOR,5ª,0
retiro,369000,81,3,S,EXTERIOR,BAJO,0
centro,2250000,157,2,S,EXTERIOR,5ª,0
san-blas,250000,53,1,S,EXTERIOR,3ª,1
barrio-de-salamanca,1649000,162,3,S,EXTERIOR,1ª,0
arganzuela,630000,141,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,1479000,136,3,S,EXTERIOR,2ª,3
vicalvaro,406000,99,3,S,EXTERIOR,1ª,0
villaverde,174000,47,3,N,EXTERIOR,2ª,0
centro,1150000,137,2,S,EXTERIOR,3ª,1
carabanchel,550000,121,3,S,EXTERIOR,5ª,0
barrio-de-salamanca,1839000,147,3,S,EXTERIOR,3ª,0
latina,378505,153,2,S,EXTERIOR,BAJO,0
puente-de-vallecas,169000,65,2,N,EXTERIOR,3ª,1
tetuan,295000,52,2,N,EXTERIOR,BAJO,0
chamartin,1590000,202,4,S,EXTERIOR,1ª,0
moncloa,470000,60,1,S,EXTERIOR,6ª,0
usera,180000,79,2,S,EXTERIOR,2ª,0
barrio-de-salamanca,2900000,204,3,S,EXTERIOR,1ª,0
ciudad-lineal,419000,44,1,S,EXTERIOR,3ª,0
retiro,649000,237,4,S,EXTERIOR,1ª,0
carabanchel,300000,111,2,N,EXTERIOR,3ª,0
retiro,790000,146,4,S,EXTERIOR,2ª,0
retiro,790000,157,4,S,EXTERIOR,9ª,0
barrio-de-salamanca,1709000,164,3,S,EXTERIOR,5ª,0
centro,1190000,160,3,S,EXTERIOR,6ª,2
barrio-de-salamanca,679000,66,2,S,INTERIOR,1ª,2
ciudad-lineal,300000,80,2,N,EXTERIOR,BAJO,1
villa-de-vallecas,375000,126,4,S,EXTERIOR,1ª,0
chamberi,700000,75,2,S,EXTERIOR,4ª,0
centro,889000,117,3,N,EXTERIOR,2ª,0
barrio-de-salamanca,965000,134,3,S,EXTERIOR,2ª,0
