zona,PrecioActual,metros,habitaciones,ascensor,localizacion,planta,baños
tetuan,398000,86,3,S,EXTERIOR,1ª,0
chamberi,650000,93,3,S,INTERIOR,1ª,1
centro,1000000,125,3,S,EXTERIOR,2ª,0
retiro,260000,42,1,S,INTERIOR,1ª,0
hortaleza,777000,136,3,S,EXTERIOR,3ª,0
chamberi,1100000,162,4,S,EXTERIOR,2ª,0
carabanchel,420000,142,3,S,EXTERIOR,2ª,0
retiro,6950000,405,4,S,EXTERIOR,2ª,0
villa-de-vallecas,189000,98,2,S,EXTERIOR,1ª,0
latina,299000,98,5,N,EXTERIOR,BAJO,4
carabanchel,119000,65,2,N,EXTERIOR,BAJO,0
hortaleza,929680,185,4,S,EXTERIOR,2ª,0
retiro,1050000,199,3,S,EXTERIOR,BAJO,0
retiro,3600000,236,4,S,EXTERIOR,1ª,0
san-blas,420000,117,2,S,EXTERIOR,7ª,2
retiro,310000,40,2,S,INTERIOR,4ª,1
villaverde,221200,85,3,S,EXTERIOR,4ª,0
centro,335000,34,1,S,EXTERIOR,BAJO,1
chamartin,2100000,275,5,S,EXTERIOR,5ª,0
carabanchel,195000,95,1,S,EXTERIOR,BAJO,0
carabanchel,230000,113,4,S,EXTERIOR,3ª,2
chamartin,3190000,325,5,S,EXTERIOR,7ª,0
barrio-de-salamanca,1750000,208,4,S,EXTERIOR,4ª,1
hortaleza,249900,67,1,S,EXTERIOR,1ª,0
barajas,630000,118,2,S,EXTERIOR,4ª,2
barrio-de-salamanca,395000,80,2,S,EXTERIOR,BAJO,0
puente-de-vallecas,235000,60,2,N,EXTERIOR,1ª,0
barrio-de-salamanca,2630000,306,5,S,EXTERIOR,4ª,0
centro,830000,101,2,S,EXTERIOR,3ª,0
centro,265000,55,1,S,INTERIOR,BAJO,0
vicalvaro,474000,114,3,S,EXTERIOR,BAJO,0
tetuan,241000,75,2,N,EXTERIOR,4ª,0
arganzuela,1177000,196,4,S,EXTERIOR,5ª,0
puente-de-vallecas,159000,70,3,N,EXTERIOR,1ª,1
chamartin,9500000,462,3,S,EXTERIOR,14ª,3
chamberi,820000,83,3,N,EXTERIOR,3ª,2
ciudad-lineal,459900,85,2,S,EXTERIOR,4ª,0
chamartin,940000,65,1,S,EXTERIOR,3ª,0
chamberi,756000,133,4,S,INTERIOR,5ª,0
barrio-de-salamanca,1250000,106,2,S,EXTERIOR,4ª,0
puente-de-vallecas,175000,64,3,N,EXTERIOR,BAJO,0
