zona,PrecioActual,metros,habitaciones,tiene_ascensor,localizacion,planta_num,baños,PrecioActual_log,Latitud,Longitud
centro,360000,45,1.0,1,INTERIOR,1.0,0,12.793862088206213,40.4176527,-3.7079547
fuencarral,550000,138,3.0,1,EXTERIOR,0.0,2,13.217675375388819,40.426213,-3.7009931
chamberi,420000,56,1.0,1,EXTERIOR,6.0,0,12.948012371209098,40.4389621,-3.705302
chamberi,730000,80,2.0,1,EXTERIOR,4.0,0,13.500801182986649,40.4389621,-3.705302
tetuan,270000,83,3.0,0,EXTERIOR,4.0,0,12.506180941677357,40.4605781,-3.6982806
chamartin,3800000,420,3.0,1,EXTERIOR,3.0,0,15.150511887854474,40.4739539,-3.6827087
carabanchel,291400,100,4.0,1,EXTERIOR,0.0,3,12.582455604446345,40.3742112,-3.744676
centro,1079000,128,3.0,1,EXTERIOR,2.0,0,13.8915461710239,40.4176527,-3.7079547
barrio-de-salamanca,1849000,157,3.0,1,EXTERIOR,2.0,0,14.430156051201998,40.4364379,-3.6857028
barajas,315000,70,1.0,1,EXTERIOR,0.0,0,12.660331092405906,40.4733176,-3.5798446
barrio-de-salamanca,1695000,113,3.0,1,EXTERIOR,5.0,0,14.343193888767015,40.4364379,-3.6857028
centro,830000,108,2.0,1,EXTERIOR,3.0,0,13.629182184591333,40.4176527,-3.7079547
hortaleza,574000,88,2.0,1,EXTERIOR,1.0,0,13.260386417460465,40.4725491,-3.6425515
puente-de-vallecas,270000,115,3.0,0,EXTERIOR,2.0,0,12.506180941677357,40.3868601,-3.6591803
villa-de-vallecas,546000,137,3.0,1,EXTERIOR,8.0,0,13.210376086227196,40.3739576,-3.6121632
villa-de-vallecas,235000,95,1.0,0,EXTERIOR,2.0,1,12.367345048436391,40.3739576,-3.6121632
carabanchel,350000,92,2.0,1,EXTERIOR,0.0,0,12.765691290604371,40.3742112,-3.744676
retiro,825000,175,3.0,1,EXTERIOR,3.0,0,13.623139877437296,40.4111495,-3.6760566
tetuan,2875000,434,6.0,1,EXTERIOR,10.0,0,14.871563580039615,40.4605781,-3.6982806
tetuan,119500,63,3.0,0,EXTERIOR,3.0,0,11.691080018519527,40.4605781,-3.6982806
usera,418000,74,2.0,1,EXTERIOR,1.0,0,12.94323910384853,40.383894,-3.7064459
chamberi,950000,78,2.0,1,EXTERIOR,6.0,0,13.76421831620775,40.4389621,-3.705302
villa-de-vallecas,455000,87,2.0,1,EXTERIOR,2.0,0,13.02805489573287,40.3739576,-3.6121632
barrio-de-salamanca,599900,97,2.0,1,EXTERIOR,0.0,2,13.304519920584285,40.4364379,-3.6857028
centro,520000,84,1.0,1,EXTERIOR,5.0,0,13.161586013632684,40.4176527,-3.7079547
arganzuela,256400,66,1.0,1,EXTERIOR,1.0,0,12.454497904177053,40.3969535,-3.6972891
barrio-de-salamanca,1395000,100,3.0,1,EXTERIOR,4.0,0,14.148405690083225,40.4364379,-3.6857028
barrio-de-salamanca,639000,80,1.0,1,EXTERIOR,3.0,0,13.367661298303675,40.4364379,-3.6857028
hortaleza,550000,131,2.0,1,EXTERIOR,1.0,2,13.217675375388819,40.4725491,-3.6425515
barrio-de-salamanca,2200000,170,3.0,1,EXTERIOR,8.0,0,14.603968372873895,40.4364379,-3.6857028
carabanchel,218000,72,3.0,0,EXTERIOR,1.0,0,12.292254928916668,40.3742112,-3.744676
centro,395000,41,1.0,1,INTERIOR,2.0,0,12.886643575525625,40.4176527,-3.7079547
barajas,540000,121,3.0,1,EXTERIOR,3.0,0,13.199326270390594,40.4733176,-3.5798446
retiro,2100000,131,3.0,1,EXTERIOR,6.0,0,14.557448378884015,40.4111495,-3.6760566
chamberi,810431,75,1.0,1,EXTERIOR,5.0,0,13.60532271781028,40.4389621,-3.705302
centro,1823000,278,9.0,1,EXTERIOR,2.0,0,14.415994602207002,40.4176527,-3.7079547
usera,225000,69,2.0,0,EXTERIOR,3.0,0,12.323860125621126,40.383894,-3.7064459
barrio-de-salamanca,969000,165,5.0,1,EXTERIOR,6.0,0,13.784020922864116,40.4364379,-3.6857028
carabanchel,152000,63,2.0,0,EXTERIOR,1.0,1,11.931642378754141,40.3742112,-3.744676
carabanchel,230000,75,3.0,1,EXTERIOR,0.0,0,12.345838935721968,40.3742112,-3.744676
centro,399000,62,1.0,1,EXTERIOR,2.0,0,12.896719202134523,40.4176527,-3.7079547
fuencarral,1198500,244,4.0,1,EXTERIOR,6.0,0,13.996582167232532,40.426213,-3.7009931
villaverde,200000,75,3.0,0,EXTERIOR,2.0,0,12.206077645517674,40.3456104,-3.6959556
barrio-de-salamanca,1720000,175,2.0,1,EXTERIOR,1.0,0,14.357835430184815,40.4364379,-3.6857028
villaverde,220000,106,3.0,1,EXTERIOR,1.0,0,12.301387370778713,40.3456104,-3.6959556
centro,500000,110,3.0,1,EXTERIOR,1.0,0,13.122365377402328,40.4176527,-3.7079547
chamberi,525000,63,2.0,1,EXTERIOR,1.0,0,13.171155446333852,40.4389621,-3.705302
carabanchel,315000,80,2.0,1,EXTERIOR,1.0,2,12.660331092405906,40.3742112,-3.744676
moncloa,1335000,291,3.0,1,EXTERIOR,2.0,3,14.104442598879876,40.4350196,-3.719236
centro,696000,104,4.0,0,EXTERIOR,2.0,0,13.453106376097134,40.4176527,-3.7079547
arganzuela,310000,50,1.0,0,EXTERIOR,2.0,0,12.644330802262578,40.3969535,-3.6972891
retiro,1565000,237,4.0,1,EXTERIOR,4.0,0,14.263397020933823,40.4111495,-3.6760566
arganzuela,1250000,232,4.0,1,EXTERIOR,1.0,0,14.038654909278163,40.3969535,-3.6972891
chamartin,365000,56,1.0,1,EXTERIOR,1.0,0,12.807655372286902,40.4739539,-3.6827087
arganzuela,447000,84,2.0,0,EXTERIOR,1.0,0,13.010316110729669,40.3969535,-3.6972891
chamberi,360000,40,1.0,0,EXTERIOR,5.0,1,12.793862088206213,40.4389621,-3.705302
centro,349000,45,1.0,1,EXTERIOR,1.0,0,12.762830066509972,40.4176527,-3.7079547
tetuan,385000,76,3.0,1,EXTERIOR,2.0,0,12.861001210669146,40.4605781,-3.6982806
ciudad-lineal,249000,59,2.0,1,EXTERIOR,1.0,0,12.425212191503038,40.4484305,-3.650495
tetuan,398000,86,3.0,1,EXTERIOR,1.0,0,12.894209796826232,40.4605781,-3.6982806
chamberi,650000,93,3.0,1,INTERIOR,1.0,1,13.384729180332174,40.4389621,-3.705302
centro,1000000,125,3.0,1,EXTERIOR,2.0,0,13.815511557963774,40.4176527,-3.7079547
retiro,260000,42,1.0,1,INTERIOR,1.0,0,12.468440756144114,40.4111495,-3.6760566
hortaleza,777000,136,3.0,1,EXTERIOR,3.0,0,13.563196916350243,40.4725491,-3.6425515
chamberi,1100000,162,4.0,1,EXTERIOR,2.0,0,13.910821646859095,40.4389621,-3.705302
carabanchel,420000,142,3.0,1,EXTERIOR,2.0,0,12.948012371209098,40.3742112,-3.744676
retiro,6950000,405,4.0,1,EXTERIOR,2.0,0,15.754252361425857,40.4111495,-3.6760566
villa-de-vallecas,189000,98,2.0,1,EXTERIOR,1.0,0,12.149507585033072,40.3739576,-3.6121632
latina,299000,98,5.0,0,EXTERIOR,0.0,4,12.608202196848836,40.4035317,-3.736152
carabanchel,119000,65,2.0,0,EXTERIOR,0.0,0,11.686887175419702,40.3742112,-3.744676
hortaleza,929680,185,4.0,1,EXTERIOR,2.0,0,13.742596795535107,40.4725491,-3.6425515
retiro,1050000,199,3.0,1,EXTERIOR,0.0,0,13.864301674514206,40.4111495,-3.6760566
retiro,3600000,236,4.0,1,EXTERIOR,1.0,0,15.096444681204078,40.4111495,-3.6760566
san-blas,420000,117,2.0,1,EXTERIOR,7.0,2,12.948012371209098,40.4275001,-3.615954
retiro,310000,40,2.0,1,INTERIOR,4.0,1,12.644330802262578,40.4111495,-3.6760566
villaverde,221200,85,3.0,1,EXTERIOR,4.0,0,12.306827069415759,40.3456104,-3.6959556
centro,335000,34,1.0,1,EXTERIOR,0.0,1,12.721888795877375,40.4176527,-3.7079547
chamartin,2100000,275,5.0,1,EXTERIOR,5.0,0,14.557448378884015,40.4739539,-3.6827087
carabanchel,195000,95,1.0,1,EXTERIOR,0.0,0,12.180759965737863,40.3742112,-3.744676
carabanchel,230000,113,4.0,1,EXTERIOR,3.0,2,12.345838935721968,40.3742112,-3.744676
chamartin,3190000,325,5.0,1,EXTERIOR,7.0,0,14.975531788240602,40.4739539,-3.6827087
barrio-de-salamanca,1750000,208,4.0,1,EXTERIOR,4.0,1,14.375126917328105,40.4364379,-3.6857028
hortaleza,249900,67,1.0,1,EXTERIOR,1.0,0,12.428820118415677,40.4725491,-3.6425515
barajas,630000,118,2.0,1,EXTERIOR,4.0,2,13.353476685668044,40.4733176,-3.5798446
barrio-de-salamanca,395000,80,2.0,1,EXTERIOR,0.0,0,12.886643575525625,40.4364379,-3.6857028
carabanchel,183800,64,1.0,1,EXTERIOR,2.0,0,12.121608929585332,40.3742112,-3.744676
puente-de-vallecas,235000,60,2.0,0,EXTERIOR,1.0,0,12.367345048436391,40.3868601,-3.6591803
barrio-de-salamanca,2630000,306,5.0,1,EXTERIOR,4.0,0,14.782494784382012,40.4364379,-3.6857028
centro,830000,101,2.0,1,EXTERIOR,3.0,0,13.629182184591333,40.4176527,-3.7079547
centro,265000,55,1.0,1,INTERIOR,0.0,0,12.487488878546145,40.4176527,-3.7079547
vicalvaro,474000,114,3.0,1,EXTERIOR,0.0,0,13.06896471037963,40.4018377,-3.5950537
tetuan,241000,75,2.0,0,EXTERIOR,4.0,0,12.392556361841777,40.4605781,-3.6982806
arganzuela,1177000,196,4.0,1,EXTERIOR,5.0,0,13.978480235859726,40.3969535,-3.6972891
puente-de-vallecas,159000,70,3.0,0,EXTERIOR,1.0,1,11.976665770490767,40.3868601,-3.6591803
chamberi,820000,83,3.0,0,EXTERIOR,3.0,2,13.617060838751888,40.4389621,-3.705302
ciudad-lineal,459900,85,2.0,1,EXTERIOR,4.0,0,13.038766527911386,40.4484305,-3.650495
chamartin,940000,65,1.0,1,EXTERIOR,3.0,0,13.753636218075409,40.4739539,-3.6827087
chamberi,756000,133,4.0,1,INTERIOR,5.0,0,13.535797977912118,40.4389621,-3.705302
barrio-de-salamanca,1250000,106,2.0,1,EXTERIOR,4.0,0,14.038654909278163,40.4364379,-3.6857028
puente-de-vallecas,175000,64,3.0,0,EXTERIOR,0.0,0,12.07254696717504,40.3868601,-3.6591803
centro,286000,40,1.0,1,INTERIOR,0.0,0,12.563750586299374,40.4176527,-3.7079547
moncloa,1420000,171,2.0,1,EXTERIOR,2.0,0,14.166168133802548,40.4350196,-3.719236
moratalaz,174000,44,1.0,1,EXTERIOR,0.0,0,12.066816325306588,40.4059332,-3.6448737
carabanchel,179500,67,2.0,1,EXTERIOR,2.0,1,12.097936057925594,40.3742112,-3.744676
ciudad-lineal,1790000,261,3.0,1,EXTERIOR,13.0,0,14.397726736475999,40.4484305,-3.650495
vicalvaro,456900,105,3.0,1,EXTERIOR,6.0,0,13.032222016211694,40.4018377,-3.5950537
moncloa,690000,159,6.0,1,EXTERIOR,0.0,2,13.444448325847754,40.4350196,-3.719236
carabanchel,140000,69,2.0,0,EXTERIOR,4.0,0,11.849404844423074,40.3742112,-3.744676
barrio-de-salamanca,1600000,155,5.0,1,EXTERIOR,3.0,2,14.285514812209815,40.4364379,-3.6857028
chamberi,1325000,146,4.0,1,EXTERIOR,7.0,0,14.096923772119156,40.4389621,-3.705302
villa-de-vallecas,195000,80,1.0,1,INTERIOR,0.0,0,12.180759965737863,40.3739576,-3.6121632
arganzuela,295000,35,2.0,1,INTERIOR,2.0,0,12.59473402514672,40.3969535,-3.6972891
centro,780000,125,2.0,1,EXTERIOR,2.0,2,13.567050480716235,40.4176527,-3.7079547
retiro,780000,121,3.0,1,INTERIOR,4.0,2,13.567050480716235,40.4111495,-3.6760566
barrio-de-salamanca,1735000,164,3.0,1,EXTERIOR,5.0,0,14.366518547731806,40.4364379,-3.6857028
fuencarral,126800,53,1.0,1,INTERIOR,10.0,0,11.750374207389497,40.426213,-3.7009931
barrio-de-salamanca,3600000,379,5.0,1,EXTERIOR,3.0,5,15.096444681204078,40.4364379,-3.6857028
centro,545000,112,3.0,1,EXTERIOR,1.0,2,13.208542908506082,40.4176527,-3.7079547
hortaleza,855000,251,5.0,1,EXTERIOR,1.0,0,13.658857917508856,40.4725491,-3.6425515
moncloa,1450000,340,5.0,1,EXTERIOR,2.0,0,14.187074804051692,40.4350196,-3.719236
barrio-de-salamanca,550000,115,3.0,1,EXTERIOR,1.0,0,13.217675375388819,40.4364379,-3.6857028
ciudad-lineal,290000,85,3.0,1,EXTERIOR,1.0,0,12.577639650232573,40.4484305,-3.650495
moncloa,795000,121,2.0,1,EXTERIOR,2.0,1,13.586098651497313,40.4350196,-3.719236
barrio-de-salamanca,1300000,120,3.0,1,EXTERIOR,3.0,0,14.077875591662238,40.4364379,-3.6857028
centro,1990000,235,5.0,1,EXTERIOR,2.0,0,14.503645699213111,40.4176527,-3.7079547
centro,315000,35,1.0,0,EXTERIOR,4.0,0,12.660331092405906,40.4176527,-3.7079547
barrio-de-salamanca,2469000,223,4.0,1,EXTERIOR,1.0,4,14.719324173349511,40.4364379,-3.6857028
carabanchel,820000,157,3.0,1,EXTERIOR,5.0,0,13.617060838751888,40.3742112,-3.744676
villa-de-vallecas,298000,62,1.0,1,EXTERIOR,7.0,0,12.604852121186608,40.3739576,-3.6121632
centro,725000,113,3.0,0,EXTERIOR,5.0,0,13.493928313146206,40.4176527,-3.7079547
barrio-de-salamanca,3750000,237,4.0,1,EXTERIOR,1.0,0,15.137266664613225,40.4364379,-3.6857028
centro,279000,49,3.0,0,INTERIOR,6.0,0,12.53897064502647,40.4176527,-3.7079547
chamberi,3400000,386,4.0,1,EXTERIOR,5.0,0,15.039286283703994,40.4389621,-3.705302
barrio-de-salamanca,1150000,216,5.0,1,EXTERIOR,1.0,0,13.955273369904273,40.4364379,-3.6857028
usera,179000,46,1.0,1,INTERIOR,11.0,0,12.095146671399466,40.383894,-3.7064459
tetuan,299000,123,4.0,1,EXTERIOR,2.0,0,12.608202196848836,40.4605781,-3.6982806
carabanchel,530000,120,3.0,1,EXTERIOR,10.0,0,13.180634172318978,40.3742112,-3.744676
carabanchel,185000,55,2.0,0,EXTERIOR,0.0,0,12.128116509451258,40.3742112,-3.744676
fuencarral,650000,150,3.0,1,EXTERIOR,3.0,2,13.384729180332174,40.426213,-3.7009931
chamartin,1580000,175,2.0,1,EXTERIOR,0.0,0,14.272936037914342,40.4739539,-3.6827087
san-blas,755000,74,2.0,1,EXTERIOR,4.0,0,13.534474352733596,40.4275001,-3.615954
moncloa,649000,92,3.0,1,EXTERIOR,1.0,1,13.38318953651709,40.4350196,-3.719236
centro,349000,42,1.0,1,EXTERIOR,1.0,0,12.762830066509972,40.4176527,-3.7079547
hortaleza,275000,70,2.0,1,EXTERIOR,0.0,0,12.524530013005734,40.4725491,-3.6425515
fuencarral,1450000,346,5.0,1,EXTERIOR,4.0,0,14.187074804051692,40.426213,-3.7009931
latina,102000,77,3.0,0,EXTERIOR,2.0,1,11.532737896139919,40.4035317,-3.736152
carabanchel,349900,96,3.0,1,EXTERIOR,1.0,0,12.765405536311112,40.3742112,-3.744676
latina,420000,103,3.0,0,EXTERIOR,3.0,0,12.948012371209098,40.4035317,-3.736152
usera,252000,55,2.0,0,EXTERIOR,0.0,1,12.437188334739655,40.383894,-3.7064459
vicalvaro,453700,101,3.0,1,EXTERIOR,5.0,0,13.025193669749251,40.4018377,-3.5950537
ciudad-lineal,342000,70,2.0,1,EXTERIOR,2.0,0,12.742568940017076,40.4484305,-3.650495
moncloa,909000,159,3.0,1,EXTERIOR,2.0,0,13.720101473269022,40.4350196,-3.719236
barrio-de-salamanca,1399000,120,2.0,1,EXTERIOR,1.0,2,14.151268968443645,40.4364379,-3.6857028
hortaleza,1050000,337,5.0,1,EXTERIOR,4.0,3,13.864301674514206,40.4725491,-3.6425515
puente-de-vallecas,140085,58,2.0,0,EXTERIOR,2.0,0,11.850011798709488,40.3868601,-3.6591803
vicalvaro,462900,115,3.0,1,EXTERIOR,5.0,0,13.045268487310828,40.4018377,-3.5950537
tetuan,350000,40,1.0,1,EXTERIOR,0.0,0,12.765691290604371,40.4605781,-3.6982806
tetuan,1950000,198,4.0,1,EXTERIOR,12.0,0,14.48334044336031,40.4605781,-3.6982806
carabanchel,156000,54,3.0,0,EXTERIOR,0.0,0,11.957617696467539,40.3742112,-3.744676
centro,1183000,147,3.0,1,EXTERIOR,5.0,0,13.983564988268704,40.4176527,-3.7079547
chamberi,960000,180,5.0,1,EXTERIOR,1.0,0,13.774689605110144,40.4389621,-3.705302
barrio-de-salamanca,1380000,133,3.0,1,EXTERIOR,3.0,2,14.137594781770806,40.4364379,-3.6857028
barrio-de-salamanca,530000,40,1.0,1,EXTERIOR,3.0,0,13.180634172318978,40.4364379,-3.6857028
arganzuela,326000,60,3.0,1,EXTERIOR,0.0,0,12.694655727828803,40.3969535,-3.6972891
carabanchel,298000,78,3.0,1,EXTERIOR,3.0,1,12.604852121186608,40.3742112,-3.744676
moncloa,635000,124,3.0,1,EXTERIOR,5.0,2,13.361381852676738,40.4350196,-3.719236
vicalvaro,380000,76,2.0,1,EXTERIOR,1.0,0,12.847929163278053,40.4018377,-3.5950537
arganzuela,898000,127,2.0,1,EXTERIOR,6.0,0,13.707926460869462,40.3969535,-3.6972891
chamberi,995000,80,1.0,1,EXTERIOR,3.0,0,13.81049902116535,40.4389621,-3.705302
usera,214500,62,3.0,0,INTERIOR,2.0,0,12.276069679344003,40.383894,-3.7064459
chamberi,790000,100,4.0,1,EXTERIOR,2.0,0,13.579789490265188,40.4389621,-3.705302
chamberi,1850000,262,4.0,1,EXTERIOR,9.0,0,14.430696737594902,40.4389621,-3.705302
retiro,430000,90,3.0,1,EXTERIOR,3.0,0,12.971542813248437,40.4111495,-3.6760566
centro,459000,83,1.0,1,EXTERIOR,4.0,0,13.036807667689546,40.4176527,-3.7079547
chamartin,1540000,206,2.0,1,EXTERIOR,0.0,0,14.24729362374025,40.4739539,-3.6827087
arganzuela,315000,52,1.0,1,INTERIOR,0.0,0,12.660331092405906,40.3969535,-3.6972891
carabanchel,178000,82,3.0,0,EXTERIOR,2.0,0,12.08954444723597,40.3742112,-3.744676
centro,595000,70,2.0,0,EXTERIOR,1.0,0,13.296318365198623,40.4176527,-3.7079547
san-blas,290000,63,1.0,1,EXTERIOR,5.0,0,12.577639650232573,40.4275001,-3.615954
chamartin,700000,115,4.0,1,EXTERIOR,3.0,0,13.45883704259595,40.4739539,-3.6827087
usera,170000,48,1.0,0,EXTERIOR,0.0,0,12.04355959836804,40.383894,-3.7064459
barrio-de-salamanca,3750000,238,4.0,1,EXTERIOR,1.0,0,15.137266664613225,40.4364379,-3.6857028
centro,750000,107,2.0,0,EXTERIOR,0.0,1,13.527829818844937,40.4176527,-3.7079547
san-blas,426000,156,4.0,1,EXTERIOR,1.0,0,12.962196972666593,40.4275001,-3.615954
barrio-de-salamanca,1350000,115,3.0,1,EXTERIOR,3.0,0,14.115615891155079,40.4364379,-3.6857028
chamartin,675000,115,2.0,1,EXTERIOR,7.0,1,13.42246945133505,40.4739539,-3.6827087
tetuan,209000,40,2.0,0,EXTERIOR,0.0,0,12.250094315624496,40.4605781,-3.6982806
carabanchel,139000,37,1.0,0,INTERIOR,1.0,1,11.842236406331555,40.3742112,-3.744676
centro,164900,33,2.0,0,INTERIOR,3.0,0,12.013100572810686,40.4176527,-3.7079547
hortaleza,275000,69,3.0,0,EXTERIOR,2.0,0,12.524530013005734,40.4725491,-3.6425515
barrio-de-salamanca,4390000,440,5.0,0,EXTERIOR,1.0,0,15.29484001284176,40.4364379,-3.6857028
hortaleza,820000,203,3.0,1,EXTERIOR,4.0,0,13.617060838751888,40.4725491,-3.6425515
barrio-de-salamanca,1789000,152,2.0,1,INTERIOR,2.0,0,14.397167921462193,40.4364379,-3.6857028
chamartin,590000,83,2.0,1,INTERIOR,5.0,2,13.28787951079572,40.4739539,-3.6827087
chamberi,599900,80,1.0,1,EXTERIOR,3.0,0,13.304519920584285,40.4389621,-3.705302
fuencarral,180000,40,1.0,1,EXTERIOR,0.0,0,12.100717685412471,40.426213,-3.7009931
hortaleza,439000,60,1.0,1,EXTERIOR,4.0,0,12.992256969959042,40.4725491,-3.6425515
barrio-de-salamanca,5000000,400,5.0,1,EXTERIOR,4.0,0,15.424948670398354,40.4364379,-3.6857028
carabanchel,112000,67,1.0,0,EXTERIOR,3.0,0,11.626263078808801,40.3742112,-3.744676
carabanchel,505000,407,4.0,0,EXTERIOR,0.0,0,13.132315688453556,40.3742112,-3.744676
centro,550000,149,5.0,0,EXTERIOR,2.0,2,13.217675375388819,40.4176527,-3.7079547
centro,790000,114,4.0,1,EXTERIOR,1.0,0,13.579789490265188,40.4176527,-3.7079547
chamartin,540000,126,3.0,1,EXTERIOR,1.0,2,13.199326270390594,40.4739539,-3.6827087
ciudad-lineal,595000,100,2.0,1,EXTERIOR,11.0,0,13.296318365198623,40.4484305,-3.650495
ciudad-lineal,822000,110,2.0,1,EXTERIOR,0.0,2,13.619496890582589,40.4484305,-3.650495
hortaleza,519000,106,2.0,1,EXTERIOR,12.0,0,13.159661088928443,40.4725491,-3.6425515
latina,255000,76,3.0,0,EXTERIOR,1.0,0,12.449022745701502,40.4035317,-3.736152
centro,435000,40,1.0,1,EXTERIOR,3.0,0,12.983103608918753,40.4176527,-3.7079547
centro,205000,37,1.0,0,INTERIOR,1.0,0,12.230770136157428,40.4176527,-3.7079547
barrio-de-salamanca,2409000,209,3.0,1,INTERIOR,4.0,3,14.694722696706926,40.4364379,-3.6857028
hortaleza,550000,117,3.0,1,EXTERIOR,1.0,2,13.217675375388819,40.4725491,-3.6425515
barrio-de-salamanca,770000,113,4.0,1,EXTERIOR,5.0,2,13.554147092530322,40.4364379,-3.6857028
